R¨¦gion,Code Insee,Commune,Latitude,Longitude,nb_etab2008,nb_etab2009,nb_etab2010,nb_etab2011,nb_etab2012,eff2008,eff2009,eff2010,eff2011,eff2012,v ¨¦tab 2008-2009,v ¨¦tab 2008-2010,v ¨¦tab 2008-2011,v ¨¦tab 2008-2012,v eff 2008-2009,v eff 2008-2010,v eff 2008-2011,v eff 2008-2012
BRETAGNE,35252, SAINT-AUBIN-DES-LANDES,48.1,-1.3,1,1,1,1,0,1,3,2,4,0,0,0,0,-1,2,1,3,-1
BRETAGNE,35256, SAINT-BRIAC-SUR-MER,48.633333,-2.133333,1,1,1,0,0,11,1,1,0,0,0,0,-1,-1,-10,-10,-11,-11
BRETAGNE,35258, SAINT-BRIEUC-DES-IFFS,48.3,-1.85,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
BRETAGNE,35263, SAINT-COULOMB,48.683333,-1.9,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1
BRETAGNE,35265, SAINT-DOMINEUC,48.366667,-1.866667,1,1,1,1,1,36,35,42,41,44,0,0,0,0,-1,6,5,8
BRETAGNE,35266, SAINT-ERBLON,48.016667,-1.65,0,1,1,1,2,0,1,1,1,2,1,1,1,2,1,1,1,2
BRETAGNE,35273, SAINT-GERMAIN-EN-COGLES,48.4,-1.25,1,1,1,2,2,8,6,7,7,8,0,0,1,1,-2,-1,-1,0
BRETAGNE,35275, SAINT-GILLES,48.15,-1.833333,3,2,2,2,2,19,13,15,17,17,-1,-1,-1,-1,-6,-4,-2,-2
BRETAGNE,35278, SAINT-GREGOIRE,48.15,-1.683333,26,27,29,29,29,674,639,662,695,746,1,3,3,3,-35,-12,21,72
BRETAGNE,35281, SAINT-JACQUES-DE-LA-LANDE,48.066667,-1.716667,10,8,6,6,6,434,397,380,380,412,-2,-4,-4,-4,-37,-54,-54,-22
BRETAGNE,35283, SAINT-JEAN-SUR-VILAINE,48.116667,-1.366667,1,1,1,1,1,4,2,1,2,2,0,0,0,0,-2,-3,-2,-2
BRETAGNE,35287, SAINT-LUNAIRE,48.633333,-2.116667,1,2,1,1,1,1,3,1,1,1,1,0,0,0,2,0,0,0
BRETAGNE,35288, SAINT-MALO,48.65,-2.016667,19,22,20,21,25,327,299,281,295,312,3,1,2,6,-28,-46,-32,-15
BRETAGNE,35294, SAINTE-MARIE,47.7,-2,1,1,1,1,1,159,150,149,145,136,0,0,0,0,-9,-10,-14,-23
BRETAGNE,35296, SAINT-MEDARD-SUR-ILLE,48.266667,-1.666667,2,2,2,2,2,3,3,3,3,3,0,0,0,0,0,0,0,0
BRETAGNE,35297, SAINT-MEEN-LE-GRAND,48.183333,-2.2,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
BRETAGNE,35299, SAINT-MELOIR-DES-ONDES,48.65,-1.9,1,0,0,0,0,2,0,0,0,0,-1,-1,-1,-1,-2,-2,-2,-2
BRETAGNE,35306, SAINT-PERE,48.583333,-1.916667,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
BRETAGNE,35310, SAINT-SAUVEUR-DES-LANDES,48.333333,-1.316667,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1
BRETAGNE,35312, SAINT-SENOUX,47.9,-1.783333,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
BRETAGNE,35314, SAINT-SULIAC,48.566667,-1.966667,1,1,1,1,1,2,2,2,3,4,0,0,0,0,0,0,1,2
BRETAGNE,35315, SAINT-SULPICE-LA-FPRET,48.216667,-1.583333,1,1,1,1,2,1,2,2,1,3,0,0,0,1,1,1,0,2
BRETAGNE,35316, SAINT-SULPICE-DES-LANDES,48.216667,-1.583333,1,1,1,1,1,1,2,2,3,3,0,0,0,0,1,1,2,2
BRETAGNE,35319, SAINT-THURIAL,48.033333,-1.933333,1,0,0,1,0,2,0,0,1,0,-1,-1,0,-1,-2,-2,-1,-2
BRETAGNE,35320, SAINT-UNIAC,48.166667,-2.033333,2,1,1,1,1,4,1,3,3,3,-1,-1,-1,-1,-3,-1,-1,-1
